timestamp,cpu_usage,cpu_freq,ram_usage,temp
1777808720.4023564,0.0,1500.0,13.6,46.3
1777808721.40311,0.0,1500.0,13.5,45.2
1777808722.4037879,0.0,1500.0,13.5,45.2
1777808723.4044127,0.0,1500.0,13.5,45.2
1777808724.405046,0.0,1500.0,13.5,46.3
1777808725.4057453,0.0,1500.0,13.5,45.75
1777808726.406433,0.0,1500.0,13.5,46.3
1777808727.407068,0.0,1500.0,13.5,46.85
1777808728.4076765,0.0,1500.0,13.5,46.85
1777808729.408277,0.0,1500.0,13.5,46.3
1777808730.4089592,0.0,1500.0,13.5,45.75
1777808731.4095974,0.0,1500.0,13.5,45.2
1777808732.4102795,0.0,1500.0,13.5,45.2
1777808733.4109445,0.0,1500.0,13.5,46.85
1777808734.411606,0.2,1500.0,13.5,45.2
1777808735.4123092,0.0,1500.0,13.5,46.3
1777808736.412974,0.0,1500.0,13.5,44.65
1777808737.413624,0.0,1500.0,13.5,45.2
1777808738.4143395,0.0,1500.0,13.5,45.75
1777808739.4149911,0.0,1500.0,13.5,45.2
1777808740.4156418,0.0,1500.0,13.5,45.2
1777808741.4162786,0.0,1500.0,13.5,46.85
1777808742.4169466,0.0,1500.0,13.5,45.75
1777808743.4175968,0.0,1500.0,13.4,45.2
1777808744.4182794,0.0,1500.0,13.4,45.2
1777808745.4189963,0.0,1500.0,13.4,45.2
1777808746.4196804,0.0,1500.0,13.4,45.2
1777808747.4203155,0.0,1500.0,13.4,45.2
1777808748.420935,0.0,1500.0,13.4,46.85
1777808749.421575,0.0,1500.0,13.4,46.85
1777808750.4222484,0.0,1500.0,13.4,46.3
1777808751.4229345,0.0,1500.0,13.4,46.3
1777808752.4235609,0.0,1500.0,13.4,46.3
1777808753.4241707,0.0,1500.0,13.4,44.65
1777808754.4248173,0.5,1500.0,13.4,45.2
1777808755.4255328,0.0,1500.0,13.4,46.3
1777808756.4262133,0.0,1500.0,13.4,45.75
1777808757.4268715,0.0,1500.0,13.4,45.75
1777808758.4275212,0.0,1500.0,13.4,45.2
1777808759.428146,0.0,1500.0,13.4,45.2
1777808760.4288046,0.2,1500.0,13.4,44.65
1777808761.4294631,0.2,1500.0,13.4,45.2
1777808762.4302273,0.0,1500.0,13.4,46.85
1777808763.430909,0.0,1500.0,13.4,46.3
1777808764.431544,0.0,1500.0,13.4,45.75
1777808765.4322114,0.0,1500.0,13.4,45.75
1777808766.4329143,0.0,1500.0,13.4,47.4
1777808767.4335876,0.0,1500.0,13.4,46.85
1777808768.4342778,0.0,1500.0,13.4,45.2
1777808769.4349318,0.0,1500.0,13.4,46.3
1777808770.435587,0.0,1500.0,13.4,45.75
1777808771.436212,0.0,1500.0,13.4,45.2
1777808772.4368327,0.0,1500.0,13.4,46.3
1777808773.437495,0.2,1500.0,13.4,46.85
1777808774.4381685,0.0,1500.0,13.4,46.85
1777808775.4388678,0.0,1500.0,13.4,46.3
1777808776.439491,0.0,1500.0,13.4,45.2
1777808777.440118,0.0,1500.0,13.4,45.2
1777808778.4407785,0.0,1500.0,13.4,46.3
1777808779.441451,0.0,1500.0,13.4,45.75
1777808780.4421372,0.0,1500.0,13.4,46.3
1777808781.442807,0.0,1500.0,13.4,46.85
1777808782.4434578,0.0,1500.0,13.4,45.2
1777808783.444085,0.0,1500.0,13.4,45.75
1777808784.4447188,0.2,1500.0,13.4,46.85
1777808785.4454296,0.0,1500.0,13.4,45.2
1777808786.4461586,0.0,1500.0,13.4,46.85
1777808787.4468348,0.0,1500.0,13.4,46.85
1777808788.447452,0.0,1500.0,13.4,45.2
1777808789.4480507,0.0,1500.0,13.4,45.75
1777808790.448699,0.0,1500.0,13.4,46.3
1777808791.449357,0.0,1500.0,13.4,45.2
1777808792.4499996,0.0,1500.0,13.4,46.85
1777808793.45066,0.0,1500.0,13.4,45.2
1777808794.4513497,1.0,1500.0,13.8,46.85
1777808795.4521968,0.2,1500.0,13.8,45.2
1777808796.4529233,0.0,1500.0,13.8,46.85
1777808797.453602,22.1,2400.0,15.6,48.5
1777808798.4542704,1.2,2400.0,15.6,47.4
1777808799.4549186,0.3,2400.0,15.6,47.4
1777808800.4555423,0.0,2400.0,15.5,47.95
1777808801.4560938,0.0,2400.0,15.3,47.4
1777808802.4566116,0.0,1500.0,15.2,47.95
1777808803.4572973,8.0,2400.0,15.2,49.05
1777808804.4579523,50.0,2400.0,15.1,50.7
1777808805.4585571,50.2,2400.0,15.1,50.15
1777808806.459156,50.0,2400.0,15.0,52.35
1777808807.459729,50.0,2400.0,14.9,52.35
1777808808.4602664,50.0,2400.0,14.9,52.9
1777808809.4618328,50.0,2400.0,14.8,52.9
1777808810.462443,50.1,2400.0,14.7,54.0
1777808811.4630036,49.9,2400.0,14.7,53.45
1777808812.4635348,50.1,2400.0,14.6,55.65
1777808813.4640503,49.9,2400.0,14.5,54.55
1777808814.4646113,50.3,2400.0,14.5,55.1
1777808815.4651723,50.0,2400.0,14.5,54.55
1777808816.46573,50.0,2400.0,14.5,56.2
1777808817.466257,50.0,2400.0,14.4,55.65
1777808818.4667978,50.1,2400.0,14.4,56.2
1777808819.467345,50.0,2400.0,14.4,56.75
1777808820.4678721,50.0,2400.0,14.4,56.75
1777808821.4683874,50.4,2400.0,14.4,57.3
1777808822.469028,50.0,2400.0,14.4,55.65
1777808823.469606,50.0,2400.0,14.4,57.85
1777808824.4701552,50.0,2400.0,14.3,56.2
1777808825.4706829,50.0,2400.0,14.3,58.4
1777808826.4712272,50.1,2400.0,14.3,56.75
1777808827.4718013,50.0,2400.0,14.3,57.85
1777808828.4724042,50.1,2400.0,14.3,57.3
1777808829.473904,50.0,2400.0,14.2,57.85
1777808830.4744596,50.0,2400.0,14.2,56.75
1777808831.4749947,50.0,2400.0,14.2,58.95
1777808832.4755068,50.0,2400.0,14.2,58.4
1777808833.476043,50.0,2400.0,14.2,58.4
1777808834.4766355,50.0,2400.0,14.2,58.4
1777808835.4772072,50.0,2400.0,14.2,58.95
1777808836.4777296,50.0,2400.0,14.1,59.5
1777808837.4782681,50.0,2400.0,14.1,59.5
1777808838.478793,49.9,2400.0,14.1,59.5
1777808839.4806,50.1,2400.0,14.1,59.5
1777808840.481157,50.1,2400.0,14.1,58.4
1777808841.4816704,50.0,2400.0,14.1,59.5
1777808842.4821737,50.0,2400.0,14.1,58.4
1777808843.4827175,50.1,2400.0,14.1,60.05
1777808844.4841485,49.7,2400.0,14.1,58.95
1777808845.484669,50.1,2400.0,14.1,58.4
1777808846.4852238,50.0,2400.0,14.1,59.5
1777808847.4857414,50.1,2400.0,14.1,60.05
1777808848.4862607,50.0,2400.0,14.1,57.85
1777808849.487714,49.9,2400.0,14.1,59.5
1777808850.4882293,50.1,2400.0,14.1,59.5
1777808851.4887729,50.0,2400.0,14.1,60.05
1777808852.489341,50.0,2400.0,14.1,60.6
1777808853.4898825,50.1,2400.0,14.1,58.95
1777808854.4904366,50.1,2400.0,14.1,60.6
1777808855.4909782,49.9,2400.0,14.1,59.5
1777808856.4915063,50.0,2400.0,14.1,61.15
1777808857.4920385,50.0,2400.0,14.1,60.05
1777808858.492613,50.1,2400.0,14.1,61.15
1777808859.4945092,50.5,2400.0,14.1,60.6
1777808860.4951413,50.0,2400.0,14.1,60.05
1777808861.495702,50.0,2400.0,14.1,61.7
1777808862.4962265,50.0,2400.0,14.1,60.6
1777808863.496741,40.2,2400.0,14.1,57.85
1777808864.4982631,0.0,2400.0,14.1,57.3
1777808865.4988253,0.0,2400.0,14.1,57.85
1777808866.499368,0.2,2400.0,14.1,56.2
1777808867.4999187,0.0,2400.0,14.1,57.3
1777808868.5004423,0.0,1500.0,14.1,55.65
1777808869.5020897,0.0,1500.0,14.1,54.55
1777808870.5028367,0.0,1500.0,14.1,55.1
